,,,,sum,sum,sum,mean,mean,mean
,,,,HOURS_UNITS,SUBTOTAL,TOTAL,HOURS_UNITS,SUBTOTAL,TOTAL
item,day,membership,discount_type,,,,,,
ATRIUM,Full,?MEMBER?,NONE,6.0,780.0,780.0,6.0,780.0,780.0
ATRIUM,Full,FULL-TIME,?DISCOUNT?,7.0,980.0,833.0,7.0,980.0,833.0
ATRIUM,Full,FULL-TIME,FOUNDER,6.0,840.0,0.0,6.0,840.0,0.0
ATRIUM,Full,NON-MEMBER,?DISCOUNT?,8.0,1800.0,1170.0,8.0,1800.0,1170.0
ATRIUM,Full,NON-MEMBER,MULTIROOM,5.5,1237.5,1113.75,5.5,1237.5,1113.75
ATRIUM,Full,NON-MEMBER,NONE,6.0,1350.0,1350.0,6.0,1350.0,1350.0
ATRIUM,Full,PART-TIME,MULTIDAY,16.0,2880.0,864.0000000000001,16.0,2880.0,864.0000000000001
ATRIUM,Full,PART-TIME,NONE,5.5,825.0,825.0,5.5,825.0,825.0
ATRIUM,Half,?MEMBER?,MULTIROOM,3.0,585.0,497.25,3.0,585.0,497.25
ATRIUM,Half,?MEMBER?,NONE,34.5,3967.5,3863.25,3.1363636363636362,360.6818181818182,351.20454545454544
ATRIUM,Half,?MEMBER?,PARTNER,4.0,220.0,220.0,4.0,220.0,220.0
ATRIUM,Half,FULL-TIME,?DISCOUNT?,11.0,1405.0,748.0,2.75,351.25,187.0
ATRIUM,Half,FULL-TIME,FOUNDER,3.0,360.0,176.0,1.5,180.0,88.0
ATRIUM,Half,FULL-TIME,MULTIROOM,5.5,725.0,616.25,2.75,362.5,308.125
ATRIUM,Half,FULL-TIME,NONE,19.0,2180.0,2180.0,2.375,272.5,272.5
ATRIUM,Half,NON-MEMBER,?DISCOUNT?,8.5,1807.5,1458.75,2.8333333333333335,602.5,486.25
ATRIUM,Half,NON-MEMBER,FOUNDER,18.0,3870.0,1068.75,3.6,774.0,213.75
ATRIUM,Half,NON-MEMBER,MULTIROOM,18.5,3982.5,3117.375,3.7,796.5,623.475
ATRIUM,Half,NON-MEMBER,NONE,8.5,1492.5,1492.5,2.8333333333333335,497.5,497.5
ATRIUM,Half,NON-MEMBER,PARTNER,9.0,1845.0,682.5,2.25,461.25,170.625
ATRIUM,Half,NON-MEMBER,REOCURRING,3.0,675.0,270.0,3.0,675.0,270.0
ATRIUM,Half,PART-TIME,?DISCOUNT?,2.0,300.0,150.0,2.0,300.0,150.0
ATRIUM,Half,PART-TIME,MULTIDAY,1.0,864.0,432.0,1.0,864.0,432.0
ATRIUM,Half,PART-TIME,MULTIROOM,24.5,3975.0,3154.5,3.0625,496.875,394.3125
ATRIUM,Half,PART-TIME,NONE,43.5,6930.0,6930.0,3.3461538461538463,533.0769230769231,533.0769230769231
ATRIUM,Half,PART-TIME,REOCURRING,3.0,540.0,216.0,3.0,540.0,216.0
BROADWAY,Full,?MEMBER?,?DISCOUNT?,31.0,6355.0,5719.5,15.5,3177.5,2859.75
BROADWAY,Full,?MEMBER?,NONE,20.0,3440.0,3440.0,6.666666666666667,860.0,860.0
BROADWAY,Full,FULL-TIME,?DISCOUNT?,24.5,4920.0,4182.0,8.166666666666666,1640.0,1394.0
BROADWAY,Full,FULL-TIME,FOUNDER,15.5,3255.0,1342.9499999999998,7.75,1627.5,671.4749999999999
BROADWAY,Full,FULL-TIME,PARTNER,7.5,1575.0,0.0,7.5,1575.0,0.0
BROADWAY,Full,NON-MEMBER,?DISCOUNT?,14.0,4410.0,3339.0,7.0,2205.0,1669.5
BROADWAY,Full,NON-MEMBER,MULTIROOM,5.5,1732.5,1559.25,5.5,1732.5,1559.25
BROADWAY,Full,PART-TIME,?DISCOUNT?,13.0,3075.0,1217.4,6.5,1537.5,608.7
BROADWAY,Full,PART-TIME,MULTIDAY,48.0,12240.0,5610.0,12.0,3060.0,1402.5
BROADWAY,Full,PART-TIME,NONE,11.0,2805.0,2805.0,5.5,1402.5,1402.5
BROADWAY,Half,?MEMBER?,?DISCOUNT?,6.0,590.0,0.0,3.0,295.0,0.0
BROADWAY,Half,?MEMBER?,MULTIROOM,5.0,1275.0,956.25,5.0,1275.0,956.25
BROADWAY,Half,?MEMBER?,NONE,49.5,9685.0,9685.0,2.911764705882353,569.7058823529412,569.7058823529412
BROADWAY,Half,?MEMBER?,PARTNER,7.5,1190.0,610.4,3.75,595.0,305.2
BROADWAY,Half,FULL-TIME,?DISCOUNT?,9.5,1860.0,1448.7,3.1666666666666665,620.0,482.90000000000003
BROADWAY,Half,FULL-TIME,FOUNDER,24.0,4725.0,2878.95,3.4285714285714284,675.0,411.2785714285714
BROADWAY,Half,FULL-TIME,MULTIROOM,7.25,1425.0,1211.25,2.4166666666666665,475.0,403.75
BROADWAY,Half,FULL-TIME,NONE,64.5,11833.5,11833.5,2.6875,493.0625,493.0625
BROADWAY,Half,FULL-TIME,PARTNER,27.4,5352.0,1935.6000000000001,2.7399999999999998,535.2,193.56
BROADWAY,Half,NON-MEMBER,?DISCOUNT?,20.5,6207.5,3080.75,3.4166666666666665,1034.5833333333333,513.4583333333334
BROADWAY,Half,NON-MEMBER,FOUNDER,26.5,6880.0,4490.125,3.3125,860.0,561.265625
BROADWAY,Half,NON-MEMBER,MULTIROOM,25.0,7625.0,7306.25,3.5714285714285716,1089.2857142857142,1043.75
BROADWAY,Half,NON-MEMBER,NONE,117.0,36087.5,36087.5,2.925,902.1875,902.1875
BROADWAY,Half,NON-MEMBER,PARTNER,40.5,12277.5,4977.05,2.892857142857143,876.9642857142857,355.50357142857143
BROADWAY,Half,NON-MEMBER,REOCURRING,6.0,1890.0,756.0,3.0,945.0,378.0
BROADWAY,Half,NON-MEMBER,RETURNING,5.0,1475.0,1475.0,2.5,737.5,737.5
BROADWAY,Half,PART-TIME,?DISCOUNT?,7.0,1785.0,1113.75,3.5,892.5,556.875
BROADWAY,Half,PART-TIME,FOUNDER,6.5,1552.5,934.875,3.25,776.25,467.4375
BROADWAY,Half,PART-TIME,MULTIDAY,4.5,1147.5,860.625,4.5,1147.5,860.625
BROADWAY,Half,PART-TIME,MULTIROOM,30.0,7335.0,6573.75,3.0,733.5,657.375
BROADWAY,Half,PART-TIME,NONE,107.5,24976.5,24976.5,2.986111111111111,693.7916666666666,693.7916666666666
BROADWAY,Half,PART-TIME,PARTNER,7.0,1695.0,0.0,3.5,847.5,0.0
BROADWAY,Half,PART-TIME,REOCURRING,3.0,765.0,306.0,3.0,765.0,306.0
DOWNTOWN,Full,FULL-TIME,?DISCOUNT?,0.0,0.0,0.0,0.0,0.0,0.0
DOWNTOWN,Full,FULL-TIME,NONE,6.0,150.0,150.0,6.0,150.0,150.0
DOWNTOWN,Full,NON-MEMBER,?DISCOUNT?,7.0,665.0,0.0,7.0,332.5,0.0
DOWNTOWN,Full,PART-TIME,?DISCOUNT?,7.0,525.0,0.0,7.0,525.0,0.0
DOWNTOWN,Full,PART-TIME,MULTIROOM,7.0,315.0,283.5,7.0,315.0,283.5
DOWNTOWN,Half,?MEMBER?,NONE,8.0,200.0,200.0,4.0,100.0,100.0
DOWNTOWN,Half,FULL-TIME,NONE,5.0,275.0,275.0,5.0,275.0,275.0
DOWNTOWN,Half,NON-MEMBER,RETURNING,2.0,190.0,0.0,2.0,190.0,0.0
DOWNTOWN,Half,PART-TIME,?DISCOUNT?,4.0,180.0,0.0,4.0,180.0,0.0
DOWNTOWN,Half,PART-TIME,NONE,19.0,855.0,855.0,3.1666666666666665,142.5,142.5
EAST_OAK,Full,NON-MEMBER,MULTIROOM,28.0,1475.0,1314.125,5.6,295.0,262.825
EAST_OAK,Full,NON-MEMBER,NONE,5.5,302.5,302.5,5.5,302.5,302.5
EAST_OAK,Full,NON-MEMBER,RETURNING,5.5,357.5,268.125,5.5,357.5,268.125
EAST_OAK,Full,PART-TIME,?DISCOUNT?,8.0,440.0,330.0,8.0,440.0,330.0
EAST_OAK,Full,PART-TIME,MULTIROOM,14.0,350.0,315.0,7.0,175.0,157.5
EAST_OAK,Half,FULL-TIME,?DISCOUNT?,3.0,135.0,0.0,3.0,135.0,0.0
EAST_OAK,Half,FULL-TIME,NONE,1.0,35.0,35.0,1.0,35.0,35.0
EAST_OAK,Half,NON-MEMBER,NONE,8.5,297.5,297.5,4.25,148.75,148.75
JINGLETOWN,Full,?MEMBER?,?DISCOUNT?,0.0,0.0,0.0,0.0,0.0,0.0
JINGLETOWN,Full,?MEMBER?,NONE,6.0,690.0,690.0,6.0,690.0,690.0
JINGLETOWN,Full,FULL-TIME,FOUNDER,6.0,630.0,0.0,6.0,630.0,0.0
JINGLETOWN,Full,NON-MEMBER,?DISCOUNT?,16.0,3024.0,2570.4,8.0,1512.0,1285.2
JINGLETOWN,Full,NON-MEMBER,MULTIROOM,5.5,990.0,891.0,5.5,990.0,891.0
JINGLETOWN,Half,?MEMBER?,NONE,5.0,925.0,925.0,5.0,925.0,925.0
JINGLETOWN,Half,FULL-TIME,?DISCOUNT?,3.0,315.0,267.75,3.0,315.0,267.75
JINGLETOWN,Half,FULL-TIME,FOUNDER,1.0,105.0,0.0,1.0,105.0,0.0
JINGLETOWN,Half,NON-MEMBER,MULTIROOM,13.0,2220.0,1936.5,4.333333333333333,740.0,645.5
JINGLETOWN,Half,NON-MEMBER,NONE,2.0,300.0,300.0,2.0,300.0,300.0
JINGLETOWN,Half,NON-MEMBER,PARTNER,2.0,300.0,225.0,2.0,300.0,225.0
JINGLETOWN,Half,PART-TIME,MULTIROOM,16.0,2020.0,1644.0,2.6666666666666665,336.6666666666667,274.0
JINGLETOWN,Half,PART-TIME,NONE,5.5,632.5,632.5,2.75,316.25,316.25
MEDITATION,Half,NON-MEMBER,NONE,5.0,75.0,75.0,5.0,75.0,75.0
MERIDIAN,Full,FULL-TIME,MULTIDAY,130.0,5885.0,4708.0,14.444444444444445,653.8888888888889,523.1111111111111
MERIDIAN,Full,FULL-TIME,NONE,16.0,1200.0,1200.0,16.0,1200.0,1200.0
MERIDIAN,Half,?MEMBER?,?DISCOUNT?,4.0,0.0,0.0,4.0,0.0,0.0
MERIDIAN,Half,FULL-TIME,?DISCOUNT?,3.0,0.0,0.0,3.0,0.0,0.0
MERIDIAN,Half,FULL-TIME,MULTIDAY,4.0,180.0,144.0,4.0,180.0,144.0
MERIDIAN,Half,FULL-TIME,NONE,40.0,1800.0,1800.0,2.6666666666666665,120.0,120.0
MERIDIAN,Half,NON-MEMBER,?DISCOUNT?,3.0,375.0,337.5,3.0,375.0,337.5
MERIDIAN,Half,NON-MEMBER,NONE,9.5,1052.5,1052.5,3.1666666666666665,350.8333333333333,350.8333333333333
OMI,Full,?MEMBER?,?DISCOUNT?,7.5,637.5,573.75,7.5,212.5,191.25
OMI,Full,?MEMBER?,NONE,6.0,510.0,510.0,6.0,510.0,510.0
OMI,Full,?MEMBER?,PARTNER,0.0,0.0,0.0,0.0,0.0,0.0
OMI,Full,FULL-TIME,NONE,6.5,390.0,390.0,6.5,390.0,390.0
OMI,Full,PART-TIME,?DISCOUNT?,0.0,0.0,0.0,0.0,0.0,0.0
OMI,Half,?MEMBER?,MULTIROOM,3.0,345.0,293.25,3.0,345.0,293.25
OMI,Half,?MEMBER?,NONE,20.5,1582.5,1582.5,4.1,316.5,316.5
OMI,Half,FULL-TIME,?DISCOUNT?,2.0,120.0,102.0,2.0,120.0,102.0
OMI,Half,FULL-TIME,FOUNDER,4.0,360.0,0.0,4.0,360.0,0.0
OMI,Half,FULL-TIME,MULTIROOM,6.0,360.0,306.0,3.0,180.0,153.0
OMI,Half,FULL-TIME,NONE,47.5,2955.0,2955.0,2.638888888888889,164.16666666666666,164.16666666666666
OMI,Half,FULL-TIME,PARTNER,2.0,120.0,120.0,2.0,120.0,120.0
OMI,Half,NON-MEMBER,?DISCOUNT?,5.0,665.0,506.5,2.5,332.5,253.25
OMI,Half,NON-MEMBER,FOUNDER,19.5,1967.5,599.0,3.25,327.9166666666667,99.83333333333333
OMI,Half,NON-MEMBER,NONE,9.0,1185.0,1185.0,2.25,296.25,296.25
OMI,Half,NON-MEMBER,PARTNER,5.5,650.0,210.0,2.75,325.0,105.0
OMI,Half,NON-MEMBER,REOCURRING,3.0,345.0,138.0,3.0,345.0,138.0
OMI,Half,PART-TIME,FOUNDER,4.0,360.0,360.0,4.0,360.0,360.0
OMI,Half,PART-TIME,MULTIROOM,18.5,1662.5,1496.25,3.7,332.5,299.25
OMI,Half,PART-TIME,NONE,12.0,1095.0,922.5,2.4,219.0,184.5
OMI,Half,PART-TIME,REOCURRING,3.0,255.0,102.0,3.0,255.0,102.0
UPTOWN,Full,FULL-TIME,?DISCOUNT?,14.5,935.0,796.0,7.25,467.5,398.0
UPTOWN,Half,FULL-TIME,?DISCOUNT?,7.0,540.0,477.0,3.5,270.0,238.5
UPTOWN,Half,FULL-TIME,FOUNDER,1.0,70.0,0.0,1.0,70.0,0.0
UPTOWN,Half,FULL-TIME,NONE,6.0,240.0,720.0,3.0,120.0,360.0
UPTOWN,Half,NON-MEMBER,NONE,3.0,345.0,345.0,3.0,345.0,345.0
UPTOWN,Half,NON-MEMBER,PARTNER,2.0,170.0,127.5,2.0,170.0,127.5
UPTOWN,Half,NON-MEMBER,REOCURRING,5.0,575.0,546.25,5.0,575.0,546.25
UPTOWN,Half,PART-TIME,NONE,6.5,422.5,422.5,3.25,211.25,211.25
WEST_OAK,Full,NON-MEMBER,MULTIROOM,11.5,402.5,0.0,5.75,201.25,0.0
